,Unnamed: 0,Unnamed: 0.1,Unnamed: 33,congruent,corrAns,date,expName,feedback_2.started,feedback_2.stopped,frameRate,instr1.started,instr1.stopped,instrText.started,instrText.stopped,letterColor,participant,practice.thisIndex,practice.thisN,practice.thisRepN,practice.thisTrialN,psychopyVersion,resp.corr,resp.keys,resp.rt,resp.started,resp.stopped,session,text,thanksText.started,thanksText.stopped,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,word.started,word.stopped
85,85.0,85.0,,cong,left,2020_Apr_04_1340,stroop,,,59.51995277192287,,,,,red,2.0,,,,,2020.1.2,1.0,left,0.49079214601078996,43.41485066100722,None,1.0,red,,,0.0,1.0,0.0,1.0,43.41485066100722,None
86,86.0,86.0,,cong,right,2020_Apr_04_1340,stroop,,,59.51995277192287,,,,,blue,2.0,,,,,2020.1.2,1.0,right,0.5124812670110259,44.412796407996204,None,1.0,blue,,,10.0,2.0,0.0,2.0,44.412796407996204,None
87,87.0,87.0,,incong,left,2020_Apr_04_1340,stroop,,,59.51995277192287,,,,,red,2.0,,,,,2020.1.2,1.0,left,0.4567696209996938,45.44753831101115,None,1.0,green,,,4.0,3.0,0.0,3.0,45.44753831101115,None
88,88.0,88.0,,incong,left,2020_Apr_04_1340,stroop,,,59.51995277192287,,,,,red,2.0,,,,,2020.1.2,1.0,left,0.5959666109993123,46.41242349799722,None,1.0,blue,,,8.0,4.0,0.0,4.0,46.41242349799722,None
89,89.0,89.0,,cong,left,2020_Apr_04_1340,stroop,,,59.51995277192287,,,,,red,2.0,,,,,2020.1.2,1.0,left,0.4482804319995921,47.51295132300585,None,1.0,red,,,1.0,5.0,0.0,5.0,47.51295132300585,None
90,90.0,90.0,,cong,right,2020_Apr_04_1340,stroop,,,59.51995277192287,,,,,blue,2.0,,,,,2020.1.2,1.0,right,0.4301346899883356,48.4652315590065,None,1.0,blue,,,11.0,6.0,0.0,6.0,48.4652315590065,None
91,91.0,91.0,,cong,down,2020_Apr_04_1340,stroop,,,59.51995277192287,,,,,green,2.0,,,,,2020.1.2,1.0,down,0.7378668380260933,49.402289688994635,None,1.0,green,,,6.0,7.0,0.0,7.0,49.402289688994635,None
92,92.0,92.0,,incong,down,2020_Apr_04_1340,stroop,,,59.51995277192287,,,,,green,2.0,,,,,2020.1.2,1.0,down,0.3789197680016514,50.648162433004465,None,1.0,blue,,,9.0,8.0,0.0,8.0,50.648162433004465,None
93,93.0,93.0,,incong,right,2020_Apr_04_1340,stroop,,,59.51995277192287,,,,,blue,2.0,,,,,2020.1.2,1.0,right,0.4381059260049369,51.52911514401785,None,1.0,red,,,3.0,9.0,0.0,9.0,51.52911514401785,None
94,94.0,94.0,,incong,down,2020_Apr_04_1340,stroop,,,59.51995277192287,,,,,green,2.0,,,,,2020.1.2,1.0,down,1.704156238003634,52.48099565500162,None,1.0,red,,,2.0,10.0,0.0,10.0,52.48099565500162,None
95,95.0,95.0,,cong,down,2020_Apr_04_1340,stroop,,,59.51995277192287,,,,,green,2.0,,,,,2020.1.2,1.0,down,0.8062926720012911,54.6947216730041,None,1.0,green,,,5.0,11.0,0.0,11.0,54.6947216730041,None
96,96.0,96.0,,cong,down,2020_Apr_04_1340,stroop,,,59.51995277192287,,,,,green,2.0,,,,,2020.1.2,1.0,down,0.44609302197932266,56.0150473730173,None,1.0,green,,,6.0,12.0,1.0,0.0,56.0150473730173,None
97,97.0,97.0,,incong,right,2020_Apr_04_1340,stroop,,,59.51995277192287,,,,,blue,2.0,,,,,2020.1.2,1.0,right,0.8074286599876359,56.95069329199032,None,1.0,green,,,7.0,13.0,1.0,1.0,56.95069329199032,None
98,98.0,98.0,,incong,right,2020_Apr_04_1340,stroop,,,59.51995277192287,,,,,blue,2.0,,,,,2020.1.2,1.0,right,0.8824004940106533,58.25242771199554,None,1.0,red,,,3.0,14.0,1.0,2.0,58.25242771199554,None
99,99.0,99.0,,cong,left,2020_Apr_04_1340,stroop,,,59.51995277192287,,,,,red,2.0,,,,,2020.1.2,1.0,left,0.5710113850072958,59.64689744499629,None,1.0,red,,,0.0,15.0,1.0,3.0,59.64689744499629,None
